Arrests,Population
3181,4060
2698,6292
1853,10122
1725,2095
1683,2276
1552,3371
1444,5869
1201,6043
1164,6294
1127,8743
1067,603
1065,4257
1038,13214
1015,4955
1013,5684
982,8078
972,1411
905,2859
882,7421
857,3398
800,8669
775,14317
769,2558
750,1760
705,1270
695,2892
668,1728
664,2225
646,4583
640,16042
623,850
617,205
584,2456
572,1545
550,3966
523,3771
522,2491
503,1349
465,6810
451,3964
419,2057
415,7690
411,5822
406,2750
392,747
362,4775
348,1438
342,9602
338,2283
293,1884
282,2921
265,5414
251,1
245,1717
239,16545
236,3682
234,1852
229,803
228,4798
226,1732
217,17704
216,11336
212,3224
203,2572
199,920
191,840
177,4761
177,3537
161,3499
160,2754
159,3811
154,309
152,3083
136,1840
130,1331
122,716
118,272
107,3399
102,343
93,1181
90,3075
87,1534
83,4060
64,1058
60,1191
52,1
46,1
43,610
41,270
35,973
30,662
30,1345
28,314
27,1033
23,2892
17,598
6,2283
2,601
